a;b;c;d
Davana HE;Fruité;Fruits secs pruneaux, liquoreux, butyrique, camphré vert;Rhum, fruité pêche, pruneaux, liquoreux, ananas flambé, un peu ciste, cinnamique, riz cuit, coulis de tomate cuit, rouge des pizzas, coing, alcool de vie, butyrique, cuiré, osmanthus, oud, camomille, fruit sec, savonneux
Encens HE;Conifère terpénique;Zesté limette, minéral calcaire, poivré, aromatique;Minéral, terpénique, conifère, résineux, froid, calcaire, zesté, acidulé, mandarine, limette, ozonique, pétillant, âcre, térébenthine, tisane froide, très légérement fumé
Estragon HE;Anisé;Aromatique, chloré, fruité vert poire;Anis, champignon, serpillère mouillée, poire, cardamome, chloré, thym
Fenugrec absolu;Epicé;Légumineux vert, curry, torréfié;Immortelle, réglisse, vert, haricot, légumineux, fève, aqueux, concombre, feuille de violette, tabac blond, fenugrec, torréfié, céleri, vert de la citrouille, lierre, poussiéreux, curry, céréale, écorce d'arbre, corde frottée, graine, piment
Feuille de violette absolu;Vert;Concombre, poussiéreux mousse, iris, foin écurie;Concombre de mer, violette, foin, iris, écurie, osmanthus, rapeux, cassie, papier recyclé, poussiéreux, mie de pain, terreux, gouache, mousse, minéral, rocher mouillé, soufré
Fève Tonka absolu;Coumariné foin;Amandé, animal fumé casto torréfié, miellé pain d'épice;Café coumariné chocolat, légèrement casto, cire d’abeille, fumé, sombre, amandé gourmand, torréfié, crème de marron, fruit sec
Fir Balsam absolu;Conifère terpénique;Fruité fraise fruits secs, aromatique chou, urine miellé, fumé tabac;Pin, pomme, baumé, résineux, sapin, urine, foin, le BN à la fraise, tabac, cagette, sciure de bois, miellé, clochard, fumé, aromatique, fruit sec, sève, pamplemousse, ananas
Fleur d'oranger absolu;Fleur d'oranger;Paillé foin, miellé, animal;Foin, thé, rapeux, sec, animal, linalol / acétate de linalyle, guimauve, sucré, anthranylé, pas vert et plus sec que le néroli, nectarine hyper mure, miellé, texture de mie de pain, sauge, un peu amandé par le côté anthranylé
Galbanum HE;Vert;Térébenthine terpénique, feuille de lierre haricot, alliacé ail persil;Vert, galbanum eucalyptus, camphre, terpénique, rapeux, métallique, haricot, terpène, essence, pétrole, encens, minéral, coriandre, thailandais, sac patate, cave, piment, poivron, cyprès, lierre, champignon
Genièvre baies HE;Conifère terpénique;Désaltérant frais, champignon, vert de violette;Frais, désaltérant, épicé, coriandre, sauge, yaourt abricot, terpéné, lilas, angélique, vert, gin, cocktail, pétillant, sprite, encens, cyprès, boule de poivre, côté terpénique de la sève de mangue, gingembre, champignon, vert feuille de violette, aneth, penture, mentholé, froid, sève, laiteux
Géranium Egypte HE;Rosé;Verveine agrume, vert menthé, fruité litchi cassis abricot;Rosé, confituré (abricot), vert, mie de pain, citronné, essence de rose, farineux, médicamenteux suppositoire, vif, aromatique sauge, linalol, citralé
Immortelle absolu;Ambré;Liquoreux, épicé curry, fruits secs noix;Tapé, noir, fruit sec, terreux, butyrique, épicé, chocolat, miellé, betterave, vineux, patchouli, roquefort, fromage, musqué, curry, liquoreux, whisky, porto, fruité cuiré, sec, brûlé, opopanax, céleri, tabac blond
Iris beurre;Balsamique;Floral violette, terreux sec carotte, céréale;Iris, violette, poudré, terreux, sec, carotte, chocolat, vieux livre, farineux, riz, liquoreux, rhum, cuir, daim, céréale, acide gras
Jasmin Egypte absolu;Florale fraîche;Fruité lactoné, épicé, animal;Pêche, abricot, confiture, girofle, cannelle, indolé, crésolé
Jasmin sambac absolu;Florale fraîche;Orangé indolé, vert muguet jacinthe, chloré;Fleuri blanc amer anthranylé, gras, lactonique, banane, camphré, essence, jacinthe sans le vert, urine, indolé, épicé, cannelle, côté vert, thé au jasmin
Jonquille absolu;Florale fraîche;Salé cuiré animal, cinnamique foin, vert;Narcisse, fumé, vert, tomate, concentré de tomate, moutarde, la viande, épicé cinnamique, concombre, tomate verte, fruité du jasmin, paté en croute, ferraille, salé, foin, paprika, floral aldéhydé
Lavande HE;Agreste;Herbacé foin, floral, menthé aromatique;Eucalyptus, aromatique, lavandé, camphré, menthé, foin coupé coumarine, tabac, miel, osier, réglisse, sauge, thé, bergamote, fruité
Lavandin grosso HE;Agreste;Camphré, savonneux, animal transpiration;Lavandé, eucalyptus, linalol, camphré, poivré, pharmaceutique, aromatique, propre
Lemongrass HE;Citralé;Rapeux, poisson, épicé céleri;Verveine, citralé, gras, lourd, compact, ongles de citron, céleri, algue, poisson, fibreux, rapeux, métallique, salé, petite nuance calamus, poussiéreux, ananas, banane, animal, olive
Lentisque absolu;Mousse moisi;Foin, vert, maté matcha, légume;Soupe, poireaux, chocolaté, un peu fleuri gras, courge, vert, un peu coulis de tomate, boisé cédré, pomme de terre, un peu pin patchouli doux, onctueux, noix, paillé, figuier, balsamique, réglissé, alliacé doux, animal chaud, maté
Limette distillée HE;Zesté;Coca Cola, citralé verveine, camphré champignon;Fête foraine, bonbon mais très aromatique, eucalyptus, coca-cola, verveine, terpinéol, lys
Litsea cubeba HE;Citralé;Rosé, anisé, hespéridé;Citralé, anisé, plus frais, aérien, agrume, gingembre, minéral, rosé, basilic, réglissé, cédrat
Mandarine (jaune) HE;Orangé aldéhydé;Zesté, effervescent, miellé fleur d'oranger;Effervescent, aspégique, soufré, fusant, aldéhydé, montant, très fin, froid, sucre glace, anthranylé, farineux, poudré, miellé
Menthe crépue HE;Menthé;Vert frais concombre, mentholé, sucré poudré;Chlorophylle, ronde, poudré, sucre glace, vert géranium, plus alliacé feuille que carvone
Menthe poivrée HE;Menthé;Montant froid, crémeux, épicé poivré, vert;Epicé, menthé, vert, piquant, terreux, la Vosgienne, camphré, mentholé. Plus froide, montante, réglisse
Mousse de chêne absolu;Mousse moisi;Algue iodé, champignon, thé maté, animal olive;Poussiéreux, mousse, algue, fruité mur, olive, daim, un peu absolu de rose, thé noir, truffe, épinard, boisé, minéral, chien mouillé, moisi, feuille morte, épicé piment, iodé, maté
Myrrhe HE;Balsamique;Champignon, anisé réglisse, caoutchouc brûlé cuiré;Pneu, freinage de train, bouillon de légume, encre de feutre, résineux, champignon, réglisse, aspirateur, station essence, anisé, papier journal, caoutchouc brûlé, térébenthine, étain de la soudure, rhubarbe fraîche, cachou, cirage
Myrte HE;Agreste;Camphré, vaporeux, gingembre;Camphré, riz, vapeur, un peu coco mais très médicamenteux, genre figuier cheap, côté boisé fumé, ravioli aux crevettes vapeur, lingettes chaudes du restaurant chinois, citronné, fruité pate de fruit, gingembre, galet, marin, iodé, encore
Narcisse absolu;Miellé;Vert gras cireux, paillé foin, cinnamique cuiré;Vert, gras, fleur blanc, animal, équin, granuleux, méthylé, un peu fumé, légèrement cinnamique, viande, billet/jeux de carte, foin, camomille, café vert, fruité, cornichon, vieux fleuri aldéhydé un peu limite
Néroli HE;Fleur d'oranger;Lavandé, vert croquant, doux guimauve;Lavandé, orangé, méthylé, indolé, chèvrefeuille, bergamote, splash, vert, pin, pain, ape, eucalyptus, thym, chair blanche du colin, riz basmati, pois chiche
Opoponax HE;Balsamique;Champignon, sève, minéral;Colle, sève, le blanc de la tige de pissenlit, champignon, réglisse, opoponax, truffe, cèpe séché, c'est une note blanche, caoutchouc, vert, frain de train, soudure, minéral, galbanum, calcaire, béton mouillé, fini en gingembre, cuvette
Orange douce HE;Orangé aldéhydé;Aldéhydé zesté, orange pressée, sucré;Essence d'orange, Limonène, jus d'orange, métallique, cheap, acide grinçant, médicamenteux, vibrant, bonbon à l'orange
Osmanthus absolu;Fruité;Abricot pêche, cuiré daim, animal sébum, tabac foin;Cuiré daim, abricoté, chorizo, sébum, vert, thé infusé, châtaigne, écurie, foin, tabac, miel, fruit sec
Palmarosa HE;Rosé;Paille foin, verveine citralé citronné métallique, fruité litchi abricot acide;Fleur d'oranger, foin, fleuri blanc, néroli, mimosa, linalol, thé, foin, notes rosées, verveine, sauge, tilleul, ferreux, rhum
Pamplemousse HE;Zesté;Amer orangé, citralé, aldéhydé;Limonène moins cheap, juteux lumineux, un peu acide, humide jyeux, dynamique, orange, harmonieux, un peu linalol, fleur d'oranger, aldéhydé pression, orange confite, un peu vert, loin dans le brouillard : anisé
Patchouli HE;Mousse moisi;Boisé, camphré, terreux, liquoreux;Terreux, moisi, camphré, sec, boisé, chocolat, humide, marais, poivré, terpénique, cuiré, réglisse, paille
Petitgrain bigarade HE;Fleur d'oranger;Lavandé aromatique, vert croquant haricot vert, racine fumé;Fruité, linalol, thé, fumé, anthranylé, fleur blanche, guimauve, iris terreux, indolé, pain de campagne un peu trop cuit, haricot vert (dû à l'ocimène)
Petitgrain citronnier HE;Citralé;Aromatique, poivré gingembre, rosé, aldéhyde métallique;Citralé, frais, zesté, mais quand même quali, verveine, eau fraîche, aromatique, cédrat, assez doux, un peu gras, vert, fleuri rosé géranium, graine carotte/cumin, gingembre, estragon, métallique, persil, aldéhydé, petite note foin qui arrive
Pin Sibérie HE;Conifère terpénique;Camphré aromatique, aldéhydé mandarine, vert feuille de tomate;Citronné, la vosgienne, menthol, feuille de tomate, épicé du poisson, aneth, soufré, vert, cassis, sève qui colle, pin, terpinéol, aldéhydé C12 mandarine clémentine, cardamome, gingembre, patchouli, thuya
Poivre noir HE;Epicé;Zesté pamplemousse, piquant montant, boisé;Epicé, linalol, un peu vert, citronné, gingembre, limonène, pamplemousse, anisé, fenouil, clou de girofle, poivre, semoule, céréale, poisson, vert jaune blanc, roquette, lys, capucine
Romarin HE (Tunisie);Agreste;Menthé, animal, gingembre;Eucalyptus, mentholé, vieille chaussette, vinaigré, eau de cuisson riz, bonbon coca, gingembre, truc pas nette (mouton, cotelette, cuir), animal, garrigue, minéral, bolognese, sauce tomate au bout de 10min
Rose abs Turquie;Rosé;Miellé, balsamique doux (APE), poivré épicé eugénol, artichaud vert;Caoutchoux, raie des fesses, chocolat, tapenade, foin, fécal, vineux APE, rosé citronné, eugénol, pot pourri, fruité sombre, artichaud, rouge profond, chou vert
Rose HE Turquie;Rosé;Fruité litchi poire, juteux humide citronelle, métallique aldéhydé épicé;Pain de mie chaude, saké, alcool de poire, un peu irisé, humide, rosé, salé, artichaud, vert diffus, farine, framboise, litchi
Santal HE Inde;Boisé;Lacté crémeux, céréale pignon de pain arachide, épicé muscade;Anisé, vanillé, santalé, doux, rond, laiteux, craie, boisé, céréale, cardamome, pignon de pain, irisé, praliné
Sauge sclarée abs;Coumariné foin;Paille fraîche tabac, tisane tilleul, balsamique cireux, mousse poussiéreux;Fleuri gras, caramélisé, un peu tubéreuse, équin, foin, tabac, fruit sec, vanillé, un peu vert gras, boisé chêne, un peu rhum, sauge, camomille, costus, paillé, concrète de fleur, thym, gigot, balsamique, mousse
Sauge sclarée HE;Agreste;Lavandé, paille, animal, thé;Lavandé un peu styrène, chaud, moite, on sent le soleil qui tape sur le champ de lavande, un peu foin sec paille, un peu crottin biquette en facette, thé, ambre gris, tabac brun, fruité menthé, quelque chose de sale, épinard.
Styrax HE;Balsamique;Cinnamique, floral œillet, plastique cuiré;Cannelle, cinnamique, polystyrène, indolé, plastique fondu, PVC, pivalone, fleuri doux, méthylé, ylang, cuiré doux, œillet, jacinthe, lilas, glycine, colle blanche, ketchup synthétique, miellé, mimosa, amandé, terpénique au départ, castoréum, sève, vin chaud, pivoine, lilas, glace à la vraie pistache
Tagète HE;Fruité;Menthé, oranger rhum, ortie, épicé cardamome;Menthé, menthe poivrée, fraiche, verte, sent le birhyani indien, épicé, un peu cardamome, sucré, un peu liquoreux, fruité, un peu coca canelle, vert, mangue, ortie, le riz, alliacé, orangé orangette, fruité terpénique, fruit exotique, mangue, fruit de la passion, cassis, aldéhydé, oxyde, champignon, aromatique estragon, le gasoil de la limette, la feuille de tomate, sent le scoobidoo,, de loin la pomme, shiso, café vert
Térébenthine HE;Conifère terpénique;Cirage, poivré camphré, carotte;Camphré, épicé vert pâle, ardoise, un peu poisson (citron, poivre), vert jaune blanc + picots noirs, terpénique, aromatique. Camphré, carotte, céleri, poivré, encens, encaustique
Thym blanc HE;Agreste;Pharmaceutique, fumé goudron, résineux pin encens;Eucalyptus, thym, vert, aromatique, bouquet garni, mentholé, vif, sent le goudron chaud, le panneau en bois seul sur la route 66, charcuterie fumée, truc contre le rhume, l'inhalation, côté blanc vert et noir avec des picots rouges, cuiré bizarre, pneu, térébenthine, départ limette coca, après sève de pin, encens, poteau électrique en bois, petit pois carotte, encre
Tubéreuse abs;Florale fraîche;Orangé anthranilé, lactoné gras, vert pharmaceutique;Méthylé, pharmaceutique, gras, galettes de sarrasin, mimosa, acacia, vert, racine, viande rouge/crue, lactoné, fumé, chataigne, farineux
Vanille abs;Balsamique;Amandé héliotropine, cacao, praline gaufrette, animal;Vanillé, héliotropine, protège-cahier bleu électrique, sucre vanillé, fumé vanillé
Vétiver Haïti HE;Boisé;Terreux, noisette arachide, irisé;Vert boisé noisette noix torréfié racineux anisé cuiré poivré iodé moisi réglisse irisé arachide artichaud paillé
Ylang extra HE;Florale fraîche;Salicylé solaire, épicé, pharmaceutique;Couche pour bébé, fleuri blanc, gras, cinnamique, camphré, solaire, carvis, fruité, lys, fleur blanche, balsamique, banane verte
Acétal CD;Florale fraîche;Muguet, miellé, vert gras;Muguet, vert, fleuri humide, APE lointain, miellé musqué, un peu pamplemousse, rosée du matin, blanc d'œuf, très délicat lointain, un peu mousse moisi, saucisson, tilleul tombé de l'arbre très miellé, lilas
Acétate d'anisyle;Anisé;Fruité framboise, poudré mimosa, vert aqueux;Framboise, fruité fraise, un peu pharmaceutique, conifère, fruité rouge, lactoné, crémeux, grains de mûre, yaourt, un peu crayeux, métallique (un peu aldéhyde myrac), un peu ozonique en allant chercher, iodé, héliotropine, nuage de framboise, moins bonbon qu'une framboise, guimauve, sucre glace, floral ylang, dans l'anisé poussiéreux, mimosa
Acétate de benzyle;Florale fraîche;Jasminé, fruité (banane poire), ether acétone dissolvant plastique;Poire, banane, feutre weleda, liquoreux, herbacé gazon, dissolvant, plastique, protège-cahier, essence carburant, tout un aspect floral (jasmin), mangue, jacinthe, narcisse, jonquille
Acétate de cédryle;Boisé;Violette, Ambré sec, encens poivré;Boisé un peu sourd, gin vodka, genévrier, cédré, violette, réglisse, encens, résine de conifère, bois ciré, transparent et miroitant, ambre blanc, un peu glycine, sent mieux dans le temps. Particularité : démarre très doucement.
Acétate de cis-3-hexenyle;Vert;Fruité poire, herbe coupée, rosé muguet;Herbe, vert, fromage, poire, fruité, ester, banane, rosé, juteux, le vert d’une note muguet
Acétate de citronellyle;Rosé;Fruité pomme, agrume carambole, poussiéreux vapeur;Alliacé, rosé, artichaud, vapeur, parmesan, thé, agrume, physiquement piquant, kiwi, carambole, pomme rouge, étouffant, muguet, crème nivéa, pomme cuite, thé, citron chaud, grog, whisky rhum liquoreux
Acétate de DMBC;Fruité;Fruit sec, mentholé aromatique, rosé damascénone;Légume, vert, râpeux, poivron, feuille de tomate mais en plus doux, un peu jacinthe pas éclot, bourgeon. Un peu champignon. Fruité agreste, acétate, mentholé, un peu damascone, rosé, un peu cacao, fruit sec raisin sec, sucre roux, tabac blond, eucalyptus aromatique, sauge.
Acétate de géranyle;Rosé;Fruité poire, zesté verveine, vert métallique, gingembre;Métallisé, marin, chewing gum, rosé, acidulé sucré, citronelle, verveine, kiwi, fleuri blanc, concombre dilué, poire de ouf, magnolia, mimosa, fruité en tout cas : jus de poire, pèche, vert un peu grinçant, papaye, gingembre
Acétate d’hexyle;Fruité;Poire, éthéré montant, juteux sucré;Poire, peau de poire, hyper juteux, hyper volatile, bannane dissolvant, sucré, un peu melon fermenté un peu iodé, fleuri jasminé
Acétate d’isobornyle;Conifère terpénique;Camphré La vosgienne, Fruit rouge myrtille sucré, poussiéreux rèche litière de chat;Bonbon la vosgienne, cyprès, terpène, confière, myrtille, canneberge, sucré, mentholé, litière de chat, myrrhe
Acétate de linalyle;Agreste;Lavandé, zesté bergamote earl grey, fleur d’oranger guimauve, savonneux propre;Bleu, jaune, lavandé bergamote avec « éclair noir » par rapport au linalol, plus sombre, aromatique, citron confis, presque gourmand, guimauve, fleur d’oranger, métallique, texture sucre glace, bonbon violette, un peu sapin, sauge, litchi
Acétate de para-crésyle;Animal;Cheval, anisé, cuiré, fleuri ylang;Anisé, réglisse, cul de cheval, cuiré, gomme, pneu, paille, paille, foin, animal, crottin, réglisse sombre, pastis, côté un peu rosé, riche, saké, jasminé, graine, plastique, vodka, pomme de terre, gouache, trottoir, montant, certains endroits du métro, pain d’épices, charcuterie, foin, fenouil
Acétate de phényl éthyle;Rosé;Vert champignon, fruité pomme, vineux miellé;Rosé, fruité, miellé, jacinthe, indolé, pomme, poire, diorissimo, muguet, acétate de benzyle, vert, pèche, capucine, vineux, caoutchouc, champignon, mousse, anisé
Acétate de styrallyle;Vert;Rhubarbe mangue, vert gazon poivron, sucré noisette, pamplemousse métallique;Fruité mangue, papaye, fruit de la passion, lactoné, vert, rhubarbe, gardénia, noisette, poivron, peinture fraîche, gouache, praliné, asperge urine chaude, noisette sucré, coque, vin blanc sucré (sauterne)
Acétate de terpényle;Agreste;Zesté orange pamplemousse bergamote, cardamome violette, fruité savonneux;Citronné détergent, acétate de linalyle du pauvre, produit vaisselle orangé, guimauve, bergamote, pamplemousse, orange mais en cheap, amer qui vrille, très volatile, perdu pas mal à l’évolution pour rester sur le côté orangé, un peu violette, poire, un peu cassis, facette aqueuse, cactus, tapis de gym, figue de barbarie
Acétate de vétiver;Boisé;Vétiver cédré, pamplemousse, iris farineux, châtaigne lacté;Cédré, rond doux, violette, irisé, santalé, un peu détergent, très violette ionone gras, iris sec rhizome, terreux, boisé terreux, pain de mie, farineux, pamplemousse sucré, châtaigne, lacté, rhubarbe, arachide, vinaigré, artichaud
Acide phényl acétique;Miellé;Vinaigré poussiéreux, animal, fruité (patate, chocolat ananas);La mort, la vodka, la patate, le miel, feutre, rose, fromage, clochard, vieille croûte, betterave, farineux, chocolat, ananas, propolis, coing, dessous d’ongle, cirage, encaustique, vinaigré, un peu fir balsam, olive, poudré violette, anisé réglisse
Adoxal;Orangé aldéhydé;Métallique, iodé marin, vert concombre, blanc d’oeuf;Fer chaud, vapeur de fer, ozonique, baudruche, aldéhydé, métallique, blanc d’oeuf, marin, persil, vert, concombre, agrume, mandarine, iris, matcha
